一部	itibu	one part
一般	ippan	general
一時	itizi	one o'clock
一番	itiban	best
一緒	issyo	together
一致	itti	coincidence
一定	ittei	fixed
一連	itiren	series
一言	hitokoto	single word
一塁	itirui	first base
一環	ikkan	link
一体	ittai	...the heck
一斉	issei	simultaneous
一家	ikka	a house
一切	issai	all
一貫	ikkan	consistency
一瞬	issyun	moment
一品	ippin	item
一律	itiritu	evenness
一転	itten	turn
一種	issyu	species
一生	issyoo	whole life
一括	ikkatu	all together
一手	itte	move
一角	ikkaku	corner
一員	itiin	person
一層	issoo	much more
一因	itiin	cause
一変	ippen	complete change
一覧	itiran	look
一夜	itiya	one night
一流	itiryuu	first-class
一挙	ikkyo	one effort
一線	issen	line
一族	itizoku	family
一掃	issoo	clean sweep
一帯	ittai	region
一新	issin	complete change
一周	issyuu	once around
一丸	itigan	lump
一端	ittan	one end
一段	itidan	more
一行	ikkoo	line
一国	ikkoku	whole country
一場	itizyoo	one time
一門	itimon	family
一打	itida	stroke
一刻	ikkoku	minute
一堂	itidoo	one building
一目	itimoku	look
一任	itinin	entrusting
一途	itto	way
一大	itidai	one large ...
一室	issitu	one room
一節	issetu	a verse
一報	ippoo	information
一元	itigen	unitary
一様	itiyoo	uniformity
一幕	hitomaku	one act
一心	issin	one mind
一服	ippuku	dose
一戦	issen	battle
一息	hitoiki	one breath
一眼	itigan	one eye
一躍	itiyaku	suddenly
一気	ikki	chug!
一見	ikken	look
一文	itibun	sentence
一撃	itigeki	blow
一石	isseki	one game
一礼	itirei	bow
一蹴	issyuu	kicking
一味	itimi	clan
一色	issyoku	one color
一過	ikka	passing away
一口	hitokuti	mouthful
一望	itiboo	one sweep
一翼	itiyoku	wing
一同	itidoo	all present
一巡	itizyun	beat
一助	itizyo	help
一身	issin	oneself
一発	ippatu	one shot
一座	itiza	party
一声	issei	voice
一読	itidoku	perusal
一世	issei	generation
一昔	hitomukasi	ages
一喝	ikkatu	cry in a thundering voice
一子	issi	a child
一団	itidan	body
一揆	ikki	uprising
一句	ikku	phrase
一矢	issi	an arrow
一言	itigen	single word
一葉	itiyoo	one leaf
一筋	hitosuzi	one long straight object
一躍	itiyaku	suddenly
